zip_code,violation_type,offense,item_name,animal_id
80221,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A165691
80221,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A165691
80221,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A165691
80221,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A165692
80221,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A165692
80221,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A165693
80221,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A165693
80219,CITATION,8-16,LEASH LAW,A169115
80219,CITATION,8-48,DAMAGE PROP,A169115
80219,CITATION,8-51,ATTACK/ BITE,A169115
80223,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173421
80223,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173421
80239,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173493
80209,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A137889
80204,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173491
80205,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173416
80205,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173416
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173742
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173743
80205,CITATION,8-16,LEASH LAW,A173721
80205,CITATION,8-51,ATTACK/ BITE,A173721
80216,CITATION,8-16,LEASH LAW,A117496
80216,CITATION,8-16,LEASH LAW,A173415
80216,CITATION,8-51,ATTACK/ BITE,A117496
80216,CITATION,8-51,ATTACK/ BITE,A173415
80237,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173749
80237,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173749
80237,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173749
80237,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173749
80237,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A173749
80219,ADMIN,8-32 (2ND),FAILURE TO VAC - 2ND,A173581
80204,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173612
80204,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173612
80204,ADMIN,8-70/71 RSCND,SPAY/NEUT-RESCISSION,A173612
80204,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173612
80223,ADMIN,8-32 (2ND),FAILURE TO VAC - 2ND,A173435
80239,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173438
80239,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173438
80207,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173776
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A160913
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A160913
80219,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A160913
80235,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173779
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173782
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173782
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173782
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173782
80209,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A075108
80209,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173425
80209,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173425
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A113920
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A159347
80204,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173878
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A136265
80212,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173774
80521,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173885
80205,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A318651
80205,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173880
80205,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173881
80205,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A318651
80205,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173880
80205,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173881
80205,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A318651
80205,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173880
80205,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173881
80205,ADMIN,8-61 COMP,LICENSE REQ - COMP,A173881
80205,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173880
80205,ADMIN,8-61 COMP,LICENSE REQ - COMP,A318651
80205,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A173880
80205,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A173881
80205,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173881
80205,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A318651
80205,ADMIN,8-70/71 RSCND,SPAY/NEUT-RESCISSION,A318651
