NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_W_GERMAN_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBO_CROATIAN_LNG,OTHER_SLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATI_LNG,HINDI_LNG,URDU_LNG,OTHER_INDIC_LNG,OTHER_INDO_EUR_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MON_KHMR_CMBDN_LNG,HMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHER_ASIAN_LNG,TAGALOG_LNG,OTHER_PACIS_LNG,NAVAJO_LNG,OTHER_NATAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_ALL_LNG,ALL_OTHER_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INC,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2010_OR_LATER,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE_BORN,FOREIGN_BORN_FB,EUROPE_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,NORTHERN_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Chaffee Park,3966.0,2362.0,1457.0,33.0,0.0,30.0,0.0,0.0,84.0,59.56,36.74,0.83,0.0,0.76,0.0,0.0,2.12,1999.0,1967.0,310.0,236.0,225.0,91.0,546.0,415.0,545.0,711.0,501.0,524.0,394.0,132.0,198.0,862.0,473.0,21.73,11.93,34.8,32.3,38.9,3757.0,894.0,111.0,58.0,191.0,151.0,182.0,56.0,2863.0,1932.0,45.0,910.0,378.0,92.0,45.0,2823.0,602.0,820.0,680.0,721.0,3656.0,2332.0,1283.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,1505.0,46.0,1161.0,344.0,1505.0,834.0,647.0,187.0,60.0,127.0,671.0,506.0,165.0,104.0,121.0,37.0,62.0,7.0,78.0,157.0,46.0,97.0,118.0,134.0,221.0,150.0,56.0,37.0,38.0,50750.0,56071.0,26056.51,63716.81,67679.62,34497.0,35869.0,32917.0,25444.0,33273.0,33309.0,44828.0,68816.0,1948.0,0.0,20.0,31.0,38.0,110.0,82.0,359.0,800.0,111.0,950.0,1043.0,185800.0,3263.0,703.0,12.0,12.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,654.0,654.0,0.0,625.0,29.0,0.0,10.5,7.55
Sunnyside,10427.0,5502.0,4071.0,303.0,223.0,109.0,42.0,51.0,126.0,53.18,38.46,3.12,2.17,0.96,0.43,0.48,1.21,5309.0,5118.0,757.0,556.0,541.0,290.0,1313.0,985.0,1733.0,2347.0,1237.0,1238.0,769.0,619.0,186.0,2144.0,1061.0,20.85,9.87,33.97,33.53,33.83,9943.0,2278.0,196.0,155.0,402.0,370.0,554.0,167.0,7665.0,4816.0,66.0,2108.0,733.0,261.0,369.0,7586.0,1627.0,1884.0,1681.0,2394.0,9670.0,6887.0,2546.0,0.0,0.0,62.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,37.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,10.0,23.0,0.0,20.0,0.0,0.0,16.0,4192.0,4050.0,142.0,2326.0,1724.0,4050.0,2401.0,1477.0,924.0,166.0,758.0,1649.0,1069.0,580.0,548.0,201.0,216.0,225.0,164.0,143.0,225.0,169.0,117.0,250.0,365.0,535.0,353.0,190.0,216.0,93.0,48148.67,53677.67,25167.16,61730.83,64435.9,30998.33,33319.0,27654.67,23130.67,19650.0,28593.67,50265.33,58766.67,1943.0,57.0,62.0,102.0,101.0,237.0,289.0,785.0,515.0,2044.0,687.67,792.67,257833.33,9165.0,1262.0,87.0,25.0,0.0,23.0,39.0,79.0,22.0,8.0,29.0,20.0,26.0,16.0,0.0,0.0,0.0,10.0,0.0,1070.0,1070.0,8.0,1041.0,21.0,0.0,25.1,20.39
Highland,8403.0,2241.0,5579.0,362.0,15.0,150.0,0.0,0.0,56.0,27.58,64.77,4.75,0.15,1.93,0.0,0.0,0.82,4156.0,4247.0,475.0,259.0,202.0,133.0,734.0,518.0,1952.0,1862.0,1283.0,893.0,543.0,290.0,328.0,1069.0,916.0,13.63,9.98,34.45,34.75,33.55,8060.0,1408.0,37.0,68.0,121.0,267.0,458.0,262.0,6652.0,5050.0,195.0,1739.0,1423.0,203.0,198.0,6613.0,779.0,635.0,1473.0,3726.0,7928.0,6541.0,1190.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,16.0,0.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4737.0,4406.0,331.0,2260.0,2146.0,4406.0,1389.0,859.0,530.0,148.0,382.0,3017.0,2230.0,787.0,498.0,281.0,316.0,182.0,77.0,158.0,125.0,247.0,122.0,192.0,491.0,496.0,388.0,228.0,316.0,433.0,63556.5,91148.5,46933.82,88357.35,110945.64,42856.0,52557.0,39088.5,27552.0,25461.0,35599.0,54464.5,64821.5,1950.0,143.0,688.0,293.0,214.0,415.0,147.0,433.0,175.0,2229.0,1076.0,1171.0,323500.0,7613.0,790.0,61.0,10.0,20.0,0.0,31.0,152.0,61.0,8.0,61.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,570.0,536.0,0.0,498.0,38.0,34.0,17.25,13.21
Globeville,3443.0,2323.0,946.0,122.0,13.0,0.0,7.0,0.0,32.0,67.47,27.48,3.54,0.38,0.0,0.2,0.0,0.93,2006.0,1437.0,290.0,299.0,141.0,60.0,589.0,382.0,751.0,640.0,232.0,485.0,251.0,96.0,17.0,790.0,203.0,22.95,5.9,30.0,28.9,30.3,3271.0,919.0,20.0,119.0,125.0,55.0,361.0,24.0,2352.0,1270.0,39.0,409.0,300.0,40.0,144.0,2124.0,772.0,583.0,528.0,241.0,3153.0,1780.0,1341.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,1174.0,1042.0,132.0,424.0,618.0,1042.0,563.0,312.0,251.0,125.0,126.0,479.0,371.0,108.0,173.0,102.0,18.0,78.0,88.0,34.0,81.0,16.0,0.0,64.0,98.0,70.0,57.0,22.0,18.0,0.0,26731.0,37426.0,14675.37,40428.12,48504.8,20000.0,21458.0,17076.0,21080.0,21111.0,27031.0,24926.0,59375.0,1945.0,0.0,235.0,13.0,45.0,95.0,32.0,112.0,122.0,520.0,686.0,852.0,116500.0,2728.0,715.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,691.0,684.0,7.0,677.0,0.0,7.0,40.1,30.91
Jefferson Park,2569.0,1338.0,1021.0,117.0,57.0,0.0,0.0,0.0,36.0,52.08,39.74,4.55,2.22,0.0,0.0,0.0,1.4,1543.0,1026.0,136.0,127.0,58.0,76.0,263.0,175.0,639.0,752.0,361.0,216.0,111.0,34.0,18.0,397.0,138.0,15.45,5.37,31.0,30.8,31.2,2487.0,433.0,9.0,6.0,33.0,119.0,104.0,65.0,2054.0,1462.0,17.0,594.0,314.0,95.0,85.0,1904.0,644.0,291.0,242.0,727.0,2433.0,1308.0,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,10.0,0.0,1397.0,1253.0,144.0,402.0,851.0,1253.0,468.0,337.0,131.0,73.0,58.0,785.0,604.0,181.0,129.0,112.0,66.0,60.0,92.0,95.0,50.0,36.0,86.0,163.0,110.0,67.0,43.0,57.0,66.0,35.0,45026.0,47083.0,37255.27,70042.7,55278.21,25699.0,22218.0,28971.0,16429.0,11719.0,31908.0,48889.0,62500.0,1967.0,46.0,450.0,0.0,73.0,109.0,75.0,176.0,15.0,453.0,677.0,755.0,278300.0,1758.0,811.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,787.0,787.0,0.0,787.0,0.0,0.0,24.3,19.87
Sun Valley,1433.0,708.0,139.0,291.0,15.0,140.0,0.0,13.0,127.0,49.41,9.7,20.31,1.05,9.77,0.0,0.91,8.86,609.0,824.0,276.0,216.0,193.0,50.0,492.0,321.0,270.0,167.0,39.0,39.0,74.0,7.0,24.0,735.0,53.0,51.29,3.7,17.3,9.4,25.5,1291.0,613.0,65.0,54.0,101.0,120.0,80.0,19.0,678.0,221.0,0.0,122.0,19.0,34.0,21.0,541.0,308.0,143.0,75.0,15.0,1157.0,744.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,70.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,96.0,0.0,501.0,501.0,0.0,15.0,486.0,501.0,364.0,41.0,323.0,10.0,313.0,137.0,130.0,7.0,292.0,12.0,0.0,56.0,28.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9363.0,10000.0,4592.04,12639.52,12891.21,10913.0,12679.0,7083.0,2500.0,14276.0,9500.0,,,1952.0,0.0,28.0,18.0,14.0,40.0,54.0,128.0,112.0,107.0,177.0,188.0,,1133.0,300.0,1.0,0.0,0.0,0.0,1.0,121.0,0.0,8.0,77.0,36.0,117.0,66.0,51.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,61.0,0.0,0.0,84.3,77.47
Valverde,3649.0,2736.0,535.0,155.0,40.0,163.0,0.0,8.0,12.0,74.98,14.66,4.25,1.1,4.47,0.0,0.22,0.33,1772.0,1877.0,455.0,300.0,345.0,151.0,755.0,529.0,578.0,479.0,544.0,395.0,179.0,148.0,42.0,1251.0,262.0,34.28,7.18,28.6,29.5,28.3,3446.0,1064.0,129.0,122.0,243.0,199.0,136.0,12.0,2382.0,1291.0,28.0,587.0,383.0,78.0,79.0,2045.0,982.0,608.0,325.0,130.0,3194.0,1330.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.0,1165.0,106.0,520.0,645.0,1165.0,850.0,408.0,442.0,14.0,428.0,315.0,298.0,17.0,185.0,138.0,5.0,112.0,96.0,18.0,131.0,47.0,62.0,115.0,28.0,93.0,36.0,0.0,5.0,0.0,26810.0,30972.0,11994.57,34806.87,36756.35,21480.0,23295.0,20276.0,19435.0,28378.0,25855.0,17500.0,,1954.0,0.0,6.0,8.0,98.0,73.0,139.0,496.0,255.0,196.0,607.0,709.0,149300.0,2606.0,1043.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,906.0,24.0,863.0,19.0,0.0,27.8,32.12
Athmar Park,8881.0,6411.0,1960.0,76.0,70.0,311.0,0.0,6.0,47.0,71.87,22.64,0.87,0.88,3.16,0.0,0.06,0.51,4640.0,4241.0,712.0,723.0,598.0,477.0,1435.0,1208.0,1573.0,1230.0,1069.0,1121.0,677.0,275.0,293.0,2510.0,801.0,28.45,8.88,30.95,29.6,34.1,8461.0,2209.0,103.0,186.0,476.0,513.0,233.0,124.0,6252.0,4130.0,30.0,1791.0,1165.0,227.0,257.0,5601.0,1763.0,1717.0,1400.0,721.0,8169.0,3654.0,4201.0,13.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3013.0,2888.0,125.0,1748.0,1140.0,2888.0,1921.0,1108.0,813.0,222.0,591.0,967.0,779.0,188.0,242.0,184.0,93.0,214.0,142.0,255.0,191.0,125.0,75.0,298.0,370.0,319.0,149.0,49.0,93.0,8.0,41956.0,45413.0,18179.4,51391.32,54825.56,24796.0,27919.5,18160.0,22030.0,24626.5,34407.0,49852.5,48250.0,1954.5,0.0,36.0,65.0,11.0,360.0,278.0,1473.0,606.0,184.0,942.5,1044.5,148200.0,6181.0,2700.0,2.0,2.0,0.0,0.0,0.0,273.0,20.0,26.0,204.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425.0,2416.0,18.0,2397.0,1.0,9.0,20.75,19.44
Baker,5644.0,2147.0,2941.0,149.0,49.0,113.0,0.0,0.0,245.0,38.04,52.11,2.64,0.87,2.0,0.0,0.0,4.34,2927.0,2717.0,412.0,320.0,151.0,37.0,732.0,263.0,942.0,1600.0,612.0,585.0,690.0,112.0,108.0,920.0,548.0,16.3,9.71,34.2,34.6,33.8,5454.0,1456.0,201.0,101.0,116.0,85.0,514.0,185.0,3998.0,2822.0,34.0,1236.0,838.0,67.0,76.0,4079.0,869.0,689.0,675.0,1846.0,5232.0,3890.0,1201.0,30.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,2750.0,2571.0,179.0,931.0,1640.0,2571.0,923.0,676.0,247.0,27.0,220.0,1648.0,1183.0,465.0,340.0,353.0,42.0,158.0,115.0,52.0,100.0,213.0,88.0,135.0,185.0,143.0,359.0,104.0,42.0,109.0,41595.0,50871.0,30611.13,64392.65,86930.44,27211.0,26626.0,31453.0,7589.0,11777.0,27450.0,43132.0,72667.0,1939.0,19.0,292.0,14.0,89.0,41.0,338.0,219.0,130.0,1608.0,767.0,824.0,302000.0,4899.0,745.0,37.0,28.0,9.0,0.0,0.0,103.0,103.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,14.0,531.0,531.0,0.0,531.0,0.0,0.0,32.1,26.65
Fort Logan,8768.0,2608.0,5064.0,202.0,37.0,545.0,7.0,20.0,285.0,29.82,56.5,2.9,0.44,6.65,0.05,0.14,3.5,4201.0,4567.0,481.0,405.0,576.0,467.0,886.0,1146.0,928.0,1225.0,957.0,1418.0,1041.0,661.0,506.0,1929.0,1629.0,22.34,18.87,42.2,41.63,43.4,8429.0,1972.0,124.0,14.0,446.0,484.0,360.0,107.0,6457.0,3724.0,53.0,1358.0,1094.0,269.0,272.0,6344.0,607.0,1692.0,2009.0,2036.0,8287.0,6938.0,711.0,12.0,0.0,4.0,0.0,14.0,0.0,7.0,0.0,16.0,11.0,0.0,15,9.0,0.0,18.0,0.0,15.0,0.0,0.0,0.0,60.0,4.0,9.0,0.0,0.0,23.0,0.0,336.0,0.0,46.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442.0,3305.0,137.0,2613.0,692.0,3305.0,2262.0,1665.0,597.0,194.0,403.0,1043.0,859.0,184.0,260.0,87.0,213.0,135.0,137.0,140.0,206.0,100.0,134.0,242.0,355.0,453.0,342.0,202.0,213.0,192.0,66049.33,82352.33,34486.94,85612.56,100432.49,35331.67,43923.0,32562.33,24833.33,33821.67,34123.33,52539.0,78935.67,1976.0,33.0,87.0,464.0,225.0,1474.0,747.0,372.0,22.0,18.0,715.0,814.0,284200.0,8025.0,743.0,50.0,8.0,26.0,0.0,16.0,380.0,28.0,35.0,309.0,8.0,19.0,0.0,0.0,0.0,0.0,18.0,0.0,294.0,259.0,0.0,225.0,34.0,35.0,11.5,5.28
