"","summary.leash_law.zip_code."
"80219",1383
"80211",758
"80204",676
"80239",661
"80210",659
"80205",635
"80220",555
"80216",453
"80223",423
"80206",397
"80209",337
"80207",314
"80218",298
"80202",285
"80212",263
"80249",229
"80224",216
"80222",213
"80203",191
"80237",161
"80221",151
"80231",148
"80238",143
"80230",141
"80236",132
"80246",119
"80227",80
"80123",77
"80247",62
"80214",45
"80110",40
"80235",29
"80226",28
"80014",27
"80232",16
"80012",12
"80294",1
"00000",0
"01778",0
"01921",0
"02116",0
"02135",0
"02906",0
"03272",0
"05452",0
"06071",0
"07666",0
"10025",0
"10527",0
"10555",0
"11211",0
"14047",0
"17020",0
"20005",0
"20016",0
"22202",0
"22304",0
"23013",0
"23669",0
"27584",0
"27612",0
"28031",0
"28412",0
"29461",0
"29464",0
"29615",0
"30041",0
"30705",0
"32303",0
"32724",0
"32792",0
"33156",0
"33609",0
"33704",0
"33777",0
"33993",0
"34327",0
"34471",0
"37110",0
"37410",0
"38059",0
"40038",0
"43234",0
"43526",0
"43606",0
"44040",0
"44805",0
"45069",0
"46220",0
"47201",0
"47906",0
"48098",0
"48187",0
"48612",0
"50325",0
"50501",0
"51053",0
"51351",0
"53037",0
"(Other)",0
