Offense number,Frequency
8-121,34
8-131,213
8-131 (B),31
8-131(B)(1ST),3
8-132,183
8-132 (1ST),4
8-134,6
8-140,3
8-140 (1ST),2
8-140 (2ND),1
8-153.5(F),1
8-16,2141
8-16 (1ST),8039
8-16 (2ND),158
8-16 (3RD),20
8-17,44
8-17 (1ST),91
8-17 (2ND),2
8-2,5
8-2 (1ST),2
8-3,4
8-3 (1ST),3
8-32,520
8-32 (1ST),3696
8-32 (2ND),33
8-32 (3RD),2
8-32 COMP,963
8-32 RSCND,461
8-36 (1ST),179
8-36 (2ND),2
8-46,93
8-46 (1ST),2
8-47,20
8-47 (1ST),34
8-48,80
8-51,2199
8-52,28
8-55,244
8-61,681
8-61 (1ST),4425
8-61 (2ND),18
8-61 (3RD),1
8-61 COMP,766
8-61 RSCND,1115
8-63 (1ST),61
8-63 (2ND),1
8-70/71 (1ST),2480
8-70/71 (2ND),35
8-70/71 (3RD),2
8-70/71 COMP,488
8-70/71 RSCND,119
8-71,328
8-82 (1ST),6
8-82 (2ND),1
8-91,34
8-91 (1ST),31
8-91 (2ND),1
8-91 RSCND,1
