NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVE_AM,PCT_ASIAN,PCT_HAWAIIAN_PI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,BUILT_2005_OR_LATER,BUILT_2000_2004,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,NATIVE_BORN,FOREIGN_BORN_FB,PCT_IN_POVERTY,PCT_FAM_POVERTY,SHAPE_Length,SHAPE_Area
Goldsmith,5009,1212,2732,767,0,177,0,90,31,24.2,54.54,15.31,0,3.53,0,1.8,0.62,2593,2416,344,96,125,111,440,433,1042,711,757,528,473,276,349,676,876,13.5,17.49,4727,689,74,17,67,49,192,278,12,4038,2377,385,1435,221,274,62,3542,417,1244,1109,772,2950,2586,364,733,1853,2586,1059,744,315,159,156,1527,1323,204,545,158,261,243,206,266,76,147,91,159,77,134,140,18,52,13,20809,37060,46551,0,19,76,159,1432,1039,153,59,13,4124,885,28.83,25.87,0.110966495,0.000210293
Virginia Village,13231,2474,9107,728,93,433,87,26,283,18.7,68.83,5.5,0.7,3.27,0.66,0.2,2.14,7152,6079,853,849,671,219,1702,1053,2554,2182,1651,1798,1012,794,485,2592,1743,19.59,13.17,12649,2623,150,181,650,375,462,524,281,10026,6441,1092,3059,1509,368,413,9338,961,2135,2419,3823,6684,6184,500,2849,3335,6184,3050,2154,896,402,494,3134,2605,529,623,438,400,396,565,436,218,399,363,556,418,569,419,211,137,36,24290,50248,61696,18,112,100,333,1389,1886,2420,262,164,10376,2855,20.08,16.85,0.128604709,0.000528266
Gateway / Green Valley Ranch,26695,9311,6858,7763,43,1668,145,11,896,34.88,25.69,29.08,0.16,6.25,0.54,0.04,3.36,12700,13995,2704,2749,2179,1082,5453,3810,3765,5538,3827,2654,1159,449,40,8714,838,32.64,3.14,25104,8000,440,572,2252,1494,1371,1438,433,17104,13558,2004,5423,3791,1398,942,15902,2600,3675,5593,4034,9940,9348,592,6638,2710,9348,6673,4669,2004,528,1476,2675,2013,662,221,289,224,340,586,435,550,599,408,1162,1260,1666,941,260,284,123,23762,66469,68649,1320,4560,2522,1183,214,91,12,0,38,21141,5554,8.88,8.24,0.216272642,0.002004816
DIA,1251,297,373,570,0,11,0,0,0,23.74,29.82,45.56,0,0.88,0,0,0,532,719,210,119,69,51,329,192,268,156,132,81,65,28,0,449,37,35.89,2.96,1069,388,0,0,134,54,123,55,22,681,539,105,265,139,23,7,648,63,236,270,79,508,487,21,333,154,487,324,168,156,0,156,163,163,0,15,28,51,41,0,44,32,37,117,42,29,29,14,8,0,0,17044,43297,46962,240,201,15,0,0,0,43,0,9,1183,68,11.67,8.33,0.632611603,0.011454078
University Hills,5574,539,4377,454,0,38,0,0,166,9.67,78.53,8.14,0,0.68,0,0,2.98,2480,3094,289,194,129,204,483,477,668,873,850,839,393,290,701,816,1170,14.64,20.99,5343,923,47,28,128,105,281,242,92,4420,2667,727,1166,427,231,116,4312,404,967,1143,1798,2681,2472,209,1751,721,2472,1309,995,314,83,231,1163,872,291,109,88,94,188,178,177,177,93,68,257,254,241,185,116,113,134,34135,72900,88861,45,53,73,99,221,270,1804,109,7,5241,333,6.53,4.81,0.115736385,0.000394574
Harvey Park,11751,7197,3793,8,165,247,0,66,275,61.25,32.28,0.07,1.4,2.1,0,0.56,2.34,5720,6031,780,896,1096,704,1676,2122,1483,1725,1689,1476,699,540,341,3476,1207,29.58,10.27,11313,3317,203,151,757,911,810,426,59,7996,5053,848,1815,1669,330,391,7179,2165,2183,1633,1198,4340,4094,246,2738,1356,4094,2701,1860,841,280,561,1393,1054,339,139,229,327,157,311,266,136,217,153,653,620,511,204,43,71,57,20038,56124,57860,18,66,18,78,313,827,2630,367,23,8995,2756,12.44,11.92,0.105363909,0.000458318
Mar Lee,12568,9036,2954,74,12,441,0,10,41,71.9,23.5,0.59,0.1,3.51,0,0.08,0.33,6428,6140,1099,857,1102,659,1956,1991,2196,1662,1775,1300,872,285,531,3717,1240,29.58,9.87,11881,2962,200,180,700,842,804,219,17,8919,5012,1034,1952,1230,566,230,7413,2863,2425,1448,677,4257,3911,346,2665,1246,3911,2783,1715,1068,393,675,1128,924,204,218,160,359,300,336,208,346,178,183,345,395,703,109,42,23,6,16085,49014,48756,0,66,48,147,162,604,2962,164,104,8863,3705,22.68,17.57,0.085461974,0.00040995
Westwood,14909,11361,2352,205,272,478,0,0,241,76.2,15.78,1.38,1.82,3.21,0,0,1.62,8281,6628,1410,2049,1121,720,3459,2253,2402,2217,2158,1061,659,338,362,5300,1020,35.55,6.84,14084,4366,295,412,1217,973,1051,393,25,9718,5892,874,2395,1798,356,469,8220,4632,2024,1294,270,4837,4389,448,2011,2378,4389,3290,2100,1190,397,793,1099,778,321,537,405,599,316,427,313,396,274,190,280,282,189,104,35,29,13,11315,36276,35617,69,341,344,256,333,392,1544,826,732,8952,5957,38.98,35.47,0.085487477,0.000407109
Washington Virginia Vale,12137,1253,8254,1604,0,844,0,108,74,10.32,68.01,13.22,0,6.95,0,0.89,0.61,5825,6312,519,359,367,299,878,774,2671,2296,1238,1561,1123,740,856,1544,2115,12.72,17.43,11830,2166,119,37,292,341,341,674,362,9664,6212,1056,3119,1200,653,184,9670,578,2235,2258,4599,7118,6779,339,2794,3985,6779,2522,1816,706,133,573,4257,3555,702,970,522,583,427,493,304,392,260,366,553,430,647,332,96,146,258,30901,53464,70035,25,187,330,858,2577,1635,1282,93,131,9517,2620,17.4,16.1,0.131459266,0.000497447
Barnum,5687,4462,924,172,0,56,0,41,32,78.46,16.25,3.02,0,0.98,0,0.72,0.56,3016,2671,402,444,489,350,846,1124,958,751,908,444,402,124,130,1685,346,29.63,6.08,5528,1576,123,72,347,403,452,179,0,3952,2613,583,996,685,268,81,3299,1542,957,627,173,1933,1747,186,1008,739,1747,1252,867,385,180,205,495,358,137,155,217,153,103,156,124,124,72,99,143,185,118,44,0,9,45,13836,43325,44850,0,89,30,75,92,219,479,252,697,3636,2051,29.93,32.43,0.058025223,0.000209892
Barnum West,4786,3558,1093,14,78,0,0,43,0,74.34,22.84,0.29,1.63,0,0,0.9,0,2413,2373,299,388,408,271,687,762,761,574,711,528,337,260,166,1366,582,28.54,12.16,4547,1173,35,151,217,353,246,158,13,3374,1988,448,908,399,78,155,3014,1218,907,624,265,1788,1685,103,1276,409,1685,1010,586,424,151,273,675,553,122,73,143,85,239,107,49,108,164,137,100,209,96,94,59,22,0,17956,48260,51779,0,0,51,26,109,116,1111,211,164,3885,901,16.02,15.54,0.056555502,0.000196926
Villa Park,8811,7258,1423,55,67,8,0,0,0,82.37,16.15,0.62,0.76,0.09,0,0,0,4791,4020,885,860,689,445,1745,1338,1471,1478,1031,807,508,222,211,2879,630,32.68,7.15,8381,2135,194,129,555,491,558,192,16,6246,3620,569,1415,768,309,559,4926,2151,1446,891,438,3214,2877,337,1148,1729,2877,1814,856,958,196,762,1063,753,310,533,253,301,197,103,130,221,254,55,215,300,205,73,9,11,17,13237,38258,41607,134,119,20,268,512,376,724,460,601,6409,2402,32.5,29.49,0.085770318,0.000269067
West Colfax,9471,6542,2540,232,69,37,0,25,26,69.07,26.82,2.45,0.73,0.39,0,0.26,0.27,4201,5270,1127,636,638,315,1763,1182,2005,1360,1128,807,473,543,210,2716,935,28.68,9.87,8673,1952,111,136,475,479,451,284,16,6721,4221,750,1884,850,502,235,5776,1562,1976,1172,1066,4094,3777,317,1081,2696,3777,2045,1210,835,122,713,1732,1368,364,576,349,262,461,145,334,256,181,107,376,191,237,211,19,38,34,16912,40697,46862,40,91,60,29,666,990,912,555,751,7247,2224,25.45,19.95,0.080797365,0.000273172
West Highland,8078,1177,6499,34,60,96,59,0,153,14.57,80.45,0.42,0.74,1.19,0.73,0,1.89,3900,4178,454,304,265,159,758,470,1105,1953,1273,1146,503,474,396,1182,1068,14.63,13.22,7696,1257,60,46,262,213,202,189,285,6439,4847,877,2368,1080,290,232,6591,381,1153,1138,3919,4401,4078,323,2677,1401,4078,1881,1655,226,87,139,2197,1682,515,196,107,147,187,159,322,198,122,130,300,329,644,466,290,263,218,42797,83285,112480,87,461,87,74,77,119,491,460,2545,7737,341,6.65,2.71,0.077700915,0.000305628
Sloan Lake,6772,2050,4275,143,0,128,0,0,176,30.27,63.13,2.11,0,1.89,0,0,2.6,2903,3869,448,271,89,116,719,329,1421,1309,892,599,622,479,402,924,1134,13.64,16.75,6530,1085,98,67,171,89,151,282,227,5445,3612,1114,1462,640,238,158,5291,688,1020,1186,2397,3741,3449,292,2037,1412,3449,1490,1022,468,178,290,1959,1514,445,325,371,273,129,119,97,181,189,12,306,428,320,279,183,134,103,33478,63126,78634,97,84,152,135,320,205,731,676,1341,6244,528,13.25,11.54,0.085226958,0.000380878
Berkeley,7612,2079,5321,67,43,69,0,11,22,27.31,69.9,0.88,0.56,0.91,0,0.14,0.29,3865,3747,537,152,274,164,689,609,1134,1560,1295,1129,589,347,260,1127,874,14.81,11.48,7263,1433,166,11,80,218,258,392,308,5830,4032,788,1752,1010,215,267,5866,546,1249,1531,2540,4181,3727,454,2531,1196,3727,1716,1280,436,136,300,2011,1564,447,252,202,140,256,310,205,223,78,193,312,305,441,260,272,215,63,32210,64435,84267,42,80,64,99,102,173,538,431,2652,7178,434,8.38,4.14,0.086158302,0.00040789
Regis,4073,1610,2029,53,17,274,0,18,72,39.53,49.82,1.3,0.42,6.73,0,0.44,1.77,2062,2011,183,243,190,130,426,801,488,603,541,577,297,182,158,746,419,18.32,10.29,3956,1213,41,18,198,167,168,581,40,2743,1859,595,684,375,127,78,2516,357,792,709,658,1637,1500,137,1037,463,1500,896,586,310,87,223,604,492,112,145,53,77,119,75,13,153,128,23,101,298,115,122,34,11,33,20939,54792,65229,0,10,67,112,81,163,432,108,664,3632,441,26.28,16.74,0.096893369,0.000277221
