STFID,STFIDNUM,POP2000,MALES,FEMALES,HISPANIC,WHITE,BLACK,AMER_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_AMERES,PCT_ASIAN,PCT_HAWNPI,PCT_OTHER,PCT_MULTI,MED_AGE,MED_AGE_M,MED_AGE_F,AGE_UNDER5,AGE_5_13,AGE_14_17,LESS_THAN_18,AGE_18_21,AGE_22_34,AGE_35_64,AGE_65_UP,PCT_LESS18,PCT_65PLUS,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,HSE_UNITS_OCC,OWNER_OCC,RENTER_OCC,VACANT,OCC_HU_AVE_SZ,TOTALPOP3PLUS,ENROLLEDINSCHOOL,NOTENROLLED,NURSERYORPRESCHOOL,KINDERGARTEN,GRADES1TO4,GRADES5TO8,GRADES9TO12,COLLEGEUNDERGRAD,GRADUATESTUDENT,TOTALPOP25PLUS,LESSTHANHSDIPLOMA,HS_GRADOREQUIV,SOMECOLLEGEORAA,BACHELORSORHIGHER,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,HH_INCOME_LESS_10000,HH_INCOME_10000_14999,HH_INCOME_15000_19999,HH_INCOME_20000_24999,HH_INCOME_25000_29999,HH_INCOME_30000_34999,HH_INCOME_35000_39999,HH_INCOME_40000_44999,HH_INCOME_45000_49999,HH_INCOME_50000_59999,HH_INCOME_60000_74999,HH_INCOME_75000_99999,HH_INCOME_100000_124999,HH_INCOME_125000_149999,HH_INCOME_150000_199999,HH_INCOME_OVER_200000,MED_HH_INCOME,MED_FAM_INCOME,PER_CAPITA_INCOME,PCTINPOVERTY,MED_EARN_16PLUS,MED_EAR_MALE,MED_EARN_FEMALE,MED_YR_BUILT,BUILT_SINCE_1990,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_EARLIER,PCTSNGFAMDETACHED,MED_CONTRACT_RENT,MED_GROSS_RENT,MED_HOME_VALUE,POP5PLUS_LNG,ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_WEST_GERMANIC_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBOCROATIAN_LNG,OTHERSLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATHI_LNG,HINDI_LNG,URDU_LNG,OTHERINDIC_LNG,OTHERINDOEUROPEAN_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MONKHMERCAMBODIAN_LNG,MIAOHMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHERASIAN_LNG,TAGALOG_LNG,OTHERPACISLANG_LNG,NAVAJO_LNG,OTHERNATIVEAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_LANG_LNG,OTHER_LNG_LNG,FOREIGNBORN_FB,EUROPE_FB,NORTHERNEUROPE_FB,WESTERNEUROPE_FB,SOUTHERNEUROPE_FB,EASTERNEUROPE_FB,ASIA_FB,EASTERNASIA_FB,SOUTHCENTRALASIA_FB,SOUTHEASTERNASIA_FB,WESTERNASIA_FB,AFRICA_FB,EASTERNAFRICA_FB,MIDDLEAFRICA_FB,NORTHERNAFRICA_FB,SOUTHERNAFRICA_FB,WESTERNAFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATINAMERICA_FB,CARRIBEAN_FB,CENTRALAMERICA_FB,SOUTHAMERICA_FB,NORTHAMERICA_FB,ATSEA_FB,WORKERS_16PLUS,DROVE_ALONE,CARPOOLED,PUBLIC_TRANSPORTATION,MOTORCYCLE,BICYCLE,WALKED,OTHER_MODE,WORKED_AT_HOME,POPULATION5PLUS,IN_DENVER,ELSEWHERE_IN_CO,DIFFERENT_STATE,OUTSIDEUSA,TOTALPOP16PLUS,INLABORFORCE,INARMEDFORCES,CIVILIAN,CIVILIANEMPLOYED,CIVILIANUNEMPLOYED,NOTINLABORFORCE,TRACT_NUM,SHAPE_Length,SHAPE_Area
08031002701,8031002701.0,4693.0,2849.0,1844.0,631.0,3474.0,258.0,55.0,134.0,3.0,11.0,127.0,13.45,74.03,5.5,1.17,2.86,0.06,0.23,2.71,31.1,33.0,29.2,67.0,54.0,41.0,162.0,385.0,2245.0,1657.0,244.0,3.45,5.2,3406.0,1.3,1595.0,978.0,32.0,174.0,15.0,32.0,320.0,2.36,3607.0,3406.0,397.0,3009.0,201.0,1.3,4657.0,809.0,3848.0,0.0,17.0,44.0,23.0,22.0,570.0,133.0,3620.0,439.0,609.0,1278.0,1294.0,3319.0,1149.0,1201.0,659.0,98.0,212.0,594.0,351.0,327.0,347.0,415.0,233.0,258.0,166.0,134.0,268.0,142.0,109.0,27.0,9.0,12.0,17.0,25777.0,35260.0,22588.0,22.42,20977.0,20898.0,21060.0,1939.0,7.0,88.0,280.0,378.0,410.0,576.0,1868.0,0.64,482.0,504.0,235200.0,4631.0,4010.0,386.0,36.0,0.0,0.0,0.0,25.0,0.0,7.0,17.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,6.0,0.0,0.0,18.0,0.0,10.0,0.0,293.0,32.0,0.0,0.0,0.0,0.0,55.0,49.0,0.0,6.0,0.0,26.0,26.0,0.0,26.0,0.0,0.0,8.0,172.0,163.0,12.0,145.0,6.0,9.0,0.0,3413.0,1687.0,244.0,505.0,0.0,74.0,796.0,13.0,94.0,4631.0,2093.0,904.0,1347.0,287.0,4557.0,3735.0,0.0,3735.0,3473.0,262.0,822.0,02701,0.0310710560946,6.02621002662e-05
08031002702,8031002702.0,5100.0,2901.0,2199.0,484.0,4055.0,223.0,42.0,180.0,5.0,16.0,95.0,9.49,79.51,4.37,0.82,3.53,0.1,0.31,1.86,33.8,34.5,33.0,62.0,68.0,41.0,171.0,260.0,2243.0,2013.0,413.0,3.35,8.1,3654.0,1.37,1457.0,1083.0,48.0,334.0,13.0,39.0,536.0,2.24,3900.0,3654.0,1002.0,2652.0,246.0,1.37,5065.0,960.0,4105.0,13.0,0.0,33.0,27.0,34.0,610.0,243.0,4241.0,205.0,498.0,1251.0,2287.0,3601.0,1282.0,1441.0,480.0,211.0,187.0,542.0,264.0,335.0,210.0,224.0,286.0,392.0,164.0,209.0,279.0,302.0,229.0,75.0,57.0,77.0,7.0,34190.0,50945.0,29401.0,14.23,26713.0,27911.0,23841.0,1959.0,49.0,110.0,578.0,1163.0,666.0,286.0,1048.0,2.77,586.0,604.0,246200.0,5044.0,4318.0,234.0,61.0,0.0,0.0,0.0,63.0,0.0,0.0,22.0,20.0,0.0,7.0,9.0,20.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,36.0,73.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,19.0,0.0,0.0,48.0,19.0,512.0,178.0,84.0,84.0,6.0,6.0,156.0,137.0,12.0,0.0,7.0,54.0,54.0,0.0,0.0,0.0,42.0,0.0,124.0,85.0,0.0,51.0,34.0,39.0,0.0,3777.0,2307.0,249.0,472.0,7.0,72.0,480.0,14.0,176.0,5044.0,2668.0,770.0,1282.0,324.0,4979.0,3977.0,0.0,3977.0,3886.0,91.0,1002.0,02702,0.0384349137269,6.8863597471e-05
08031000902,8031000902.0,5558.0,2777.0,2781.0,3774.0,1582.0,40.0,55.0,55.0,1.0,12.0,39.0,67.9,28.46,0.72,0.99,0.99,0.02,0.22,0.7,30.9,29.7,32.1,464.0,879.0,336.0,1679.0,333.0,1109.0,1816.0,621.0,30.21,11.17,1788.0,3.11,137.0,259.0,462.0,451.0,56.0,124.0,1270.0,3.7,1817.0,1788.0,1414.0,374.0,29.0,3.11,5243.0,1474.0,3769.0,114.0,99.0,367.0,382.0,360.0,133.0,19.0,3349.0,1409.0,1061.0,658.0,221.0,2064.0,558.0,799.0,374.0,152.0,181.0,143.0,118.0,150.0,120.0,158.0,139.0,194.0,132.0,205.0,188.0,88.0,120.0,22.0,13.0,5.0,0.0,36436.0,37783.0,12724.0,13.43,20038.0,22208.0,15609.0,1955.0,90.0,53.0,70.0,210.0,959.0,233.0,202.0,88.11,550.0,656.0,123700.0,5097.0,2614.0,2360.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,41.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.0,34.0,0.0,0.0,0.0,0.0,56.0,17.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1355.0,1350.0,0.0,1346.0,4.0,5.0,0.0,2082.0,1393.0,508.0,119.0,0.0,0.0,35.0,9.0,18.0,5097.0,4083.0,248.0,390.0,376.0,4036.0,2299.0,0.0,2299.0,2141.0,158.0,1737.0,00902,0.0564234230356,0.00019600740605
08031002803,8031002803.0,4172.0,2100.0,2072.0,330.0,3555.0,109.0,24.0,69.0,2.0,5.0,78.0,7.91,85.21,2.61,0.58,1.65,0.05,0.12,1.87,34.0,33.8,34.4,77.0,81.0,37.0,195.0,141.0,1849.0,1478.0,509.0,4.67,12.2,3017.0,1.38,1033.0,1074.0,74.0,309.0,27.0,36.0,524.0,2.31,3244.0,3017.0,550.0,2467.0,227.0,1.38,4123.0,629.0,3494.0,19.0,9.0,30.0,18.0,83.0,217.0,253.0,3552.0,164.0,371.0,849.0,2168.0,2944.0,940.0,1165.0,598.0,167.0,74.0,204.0,169.0,164.0,343.0,308.0,229.0,228.0,152.0,175.0,261.0,281.0,222.0,154.0,37.0,22.0,61.0,36630.0,51477.0,35790.0,7.77,26993.0,30176.0,25928.0,1965.0,116.0,491.0,539.0,871.0,422.0,159.0,646.0,11.78,604.0,637.0,234300.0,4092.0,3465.0,246.0,60.0,0.0,23.0,0.0,51.0,0.0,0.0,23.0,0.0,48.0,27.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,8.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,550.0,282.0,52.0,52.0,10.0,10.0,80.0,51.0,0.0,29.0,0.0,31.0,31.0,0.0,7.0,0.0,0.0,10.0,147.0,103.0,0.0,69.0,34.0,44.0,0.0,3074.0,2358.0,100.0,378.0,0.0,39.0,69.0,0.0,130.0,4092.0,2072.0,619.0,1194.0,207.0,4003.0,3195.0,0.0,3195.0,3106.0,89.0,808.0,02803,0.0325099138874,5.925447012e-05
08031002902,8031002902.0,3669.0,1826.0,1843.0,198.0,3319.0,27.0,17.0,59.0,3.0,4.0,42.0,5.4,90.46,0.74,0.46,1.61,0.08,0.11,1.14,35.1,35.2,34.9,161.0,208.0,87.0,456.0,54.0,1316.0,1539.0,304.0,12.43,8.29,1900.0,1.93,363.0,391.0,228.0,416.0,13.0,49.0,784.0,2.62,1981.0,1900.0,1273.0,627.0,81.0,1.93,3538.0,552.0,2986.0,25.0,11.0,76.0,111.0,82.0,98.0,149.0,3048.0,169.0,215.0,559.0,2105.0,2418.0,609.0,1165.0,513.0,73.0,58.0,84.0,89.0,13.0,44.0,113.0,127.0,133.0,50.0,58.0,154.0,303.0,280.0,156.0,112.0,101.0,74.0,63554.0,73676.0,40083.0,5.32,36920.0,44279.0,31875.0,1939.0,7.0,8.0,34.0,30.0,134.0,151.0,1617.0,73.8,710.0,790.0,248500.0,3501.0,3249.0,132.0,10.0,0.0,6.0,8.0,47.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,4.0,0.0,0.0,140.0,74.0,32.0,32.0,0.0,0.0,18.0,0.0,8.0,10.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,43.0,33.0,0.0,20.0,13.0,10.0,0.0,2506.0,2095.0,59.0,187.0,5.0,33.0,19.0,20.0,88.0,3501.0,2294.0,493.0,692.0,22.0,3251.0,2607.0,0.0,2607.0,2531.0,76.0,644.0,02902,0.0529609014705,0.000132012898264
08031008303,8031008303.0,8822.0,4427.0,4395.0,1453.0,3932.0,2659.0,61.0,353.0,36.0,17.0,311.0,16.47,44.57,30.14,0.69,4.0,0.41,0.19,3.53,30.0,30.3,29.6,962.0,1389.0,405.0,2756.0,350.0,2405.0,3174.0,137.0,31.24,1.55,3109.0,2.84,322.0,226.0,1067.0,785.0,84.0,251.0,2316.0,3.24,3624.0,3109.0,2429.0,680.0,515.0,2.84,8280.0,2670.0,5610.0,239.0,146.0,693.0,449.0,527.0,448.0,168.0,5262.0,415.0,1317.0,2052.0,1478.0,4816.0,708.0,1818.0,1609.0,365.0,316.0,54.0,43.0,24.0,162.0,103.0,192.0,173.0,200.0,186.0,428.0,598.0,475.0,278.0,144.0,29.0,18.0,59571.0,62346.0,22676.0,3.92,31382.0,36997.0,26131.0,1997.0,2488.0,1015.0,45.0,36.0,7.0,19.0,14.0,73.7,906.0,979.0,161700.0,7887.0,6539.0,756.0,16.0,0.0,13.0,7.0,49.0,0.0,9.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,35.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,4.0,48.0,24.0,0.0,29.0,0.0,33.0,24.0,99.0,0.0,923.0,146.0,30.0,30.0,0.0,0.0,237.0,18.0,42.0,177.0,0.0,175.0,175.0,0.0,57.0,7.0,105.0,15.0,350.0,321.0,0.0,296.0,25.0,29.0,0.0,4994.0,3757.0,805.0,202.0,8.0,0.0,13.0,31.0,178.0,7887.0,4748.0,1614.0,1220.0,305.0,6357.0,5329.0,41.0,5288.0,5061.0,227.0,1028.0,08303,0.228416156491,0.00200029740116
08031008304,8031008304.0,3470.0,1720.0,1750.0,1319.0,421.0,1509.0,18.0,98.0,1.0,5.0,99.0,38.01,12.13,43.49,0.52,2.82,0.03,0.14,2.85,27.4,26.8,28.3,325.0,622.0,283.0,1230.0,208.0,676.0,1181.0,175.0,35.45,5.04,902.0,3.85,48.0,53.0,259.0,250.0,34.0,118.0,769.0,4.02,915.0,902.0,710.0,192.0,13.0,3.85,3280.0,1115.0,2165.0,76.0,31.0,386.0,228.0,262.0,123.0,9.0,1894.0,554.0,629.0,521.0,190.0,1383.0,339.0,505.0,284.0,181.0,74.0,45.0,74.0,39.0,63.0,59.0,71.0,91.0,33.0,37.0,77.0,77.0,165.0,17.0,18.0,26.0,4.0,40652.0,40912.0,13701.0,18.96,22331.0,25170.0,18828.0,1969.0,37.0,45.0,337.0,450.0,20.0,13.0,13.0,95.63,719.0,947.0,126700.0,3163.0,2189.0,870.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,10.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,658.0,658.0,0.0,658.0,0.0,0.0,0.0,1420.0,956.0,347.0,66.0,0.0,0.0,10.0,4.0,37.0,3163.0,2361.0,337.0,211.0,254.0,2360.0,1600.0,5.0,1595.0,1449.0,146.0,760.0,08304,0.0398978376488,0.000100718235691
08031008306,8031008306.0,5762.0,2995.0,2767.0,2338.0,436.0,2734.0,14.0,83.0,4.0,7.0,146.0,40.58,7.57,47.45,0.24,1.44,0.07,0.12,2.53,27.9,27.5,28.5,560.0,873.0,329.0,1762.0,451.0,1310.0,1847.0,392.0,30.58,6.8,1764.0,3.27,167.0,121.0,453.0,456.0,50.0,176.0,1383.0,3.56,1798.0,1764.0,941.0,823.0,34.0,3.27,5413.0,1488.0,3925.0,81.0,92.0,388.0,417.0,294.0,148.0,68.0,3163.0,916.0,841.0,950.0,456.0,2126.0,462.0,850.0,429.0,269.0,116.0,120.0,119.0,116.0,183.0,122.0,152.0,124.0,89.0,108.0,154.0,196.0,161.0,76.0,0.0,35.0,15.0,37548.0,42500.0,15213.0,17.27,20617.0,21350.0,19746.0,1973.0,49.0,106.0,1024.0,551.0,62.0,0.0,6.0,58.06,568.0,599.0,148200.0,5218.0,3266.0,1728.0,44.0,0.0,15.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,0.0,26.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,93.0,0.0,1574.0,57.0,0.0,0.0,12.0,12.0,26.0,11.0,0.0,15.0,0.0,75.0,75.0,0.0,0.0,0.0,75.0,0.0,1416.0,1408.0,51.0,1357.0,0.0,8.0,0.0,2133.0,1379.0,405.0,218.0,0.0,0.0,118.0,6.0,7.0,5218.0,3375.0,303.0,916.0,624.0,4192.0,2414.0,9.0,2405.0,2207.0,198.0,1778.0,08306,0.0502501388032,0.000143057962776
08031001101,8031001101.0,3330.0,1721.0,1609.0,2807.0,379.0,68.0,38.0,13.0,1.0,1.0,23.0,84.29,11.38,2.04,1.14,0.39,0.03,0.03,0.69,26.9,26.1,27.8,331.0,579.0,199.0,1109.0,251.0,772.0,947.0,251.0,33.3,7.54,942.0,3.46,74.0,86.0,234.0,168.0,38.0,154.0,726.0,3.88,982.0,942.0,490.0,452.0,40.0,3.46,3145.0,954.0,2191.0,83.0,87.0,256.0,224.0,201.0,86.0,17.0,1749.0,968.0,447.0,259.0,75.0,1047.0,280.0,399.0,253.0,39.0,76.0,137.0,79.0,135.0,73.0,75.0,105.0,74.0,58.0,55.0,35.0,53.0,19.0,20.0,4.0,10.0,9.0,28728.0,29764.0,13550.0,25.23,16553.0,19245.0,12860.0,1943.0,5.0,18.0,16.0,137.0,221.0,137.0,448.0,58.15,441.0,491.0,118200.0,3000.0,1152.0,1771.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,6.0,0.0,0.0,0.0,1053.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,1042.0,0.0,1027.0,15.0,0.0,0.0,1065.0,515.0,380.0,115.0,0.0,12.0,14.0,11.0,18.0,3000.0,2338.0,241.0,117.0,304.0,2364.0,1217.0,0.0,1217.0,1121.0,96.0,1147.0,01101,0.0405200669913,9.45562755481e-05
08031000303,8031000303.0,4871.0,2340.0,2531.0,1605.0,3063.0,44.0,36.0,59.0,0.0,8.0,56.0,32.95,62.88,0.9,0.74,1.21,0.0,0.16,1.15,36.4,35.2,37.6,274.0,351.0,160.0,785.0,159.0,1351.0,1918.0,658.0,16.12,13.51,2226.0,2.09,387.0,496.0,252.0,463.0,36.0,88.0,1001.0,2.92,2296.0,2226.0,1370.0,856.0,70.0,2.09,4673.0,1036.0,3637.0,95.0,61.0,109.0,140.0,162.0,323.0,146.0,3698.0,572.0,794.0,917.0,1415.0,2621.0,715.0,1124.0,513.0,154.0,115.0,231.0,130.0,133.0,165.0,143.0,171.0,193.0,154.0,30.0,270.0,149.0,232.0,160.0,37.0,20.0,12.0,38614.0,50868.0,23261.0,11.43,26682.0,28005.0,25557.0,1939.0,26.0,13.0,20.0,165.0,143.0,238.0,1691.0,63.89,522.0,562.0,184000.0,4556.0,3441.0,942.0,52.0,0.0,5.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,77.0,12.0,12.0,18.0,18.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,230.0,0.0,224.0,6.0,16.0,0.0,2794.0,1996.0,332.0,192.0,0.0,25.0,58.0,18.0,173.0,4556.0,3342.0,484.0,658.0,72.0,4219.0,3000.0,0.0,3000.0,2872.0,128.0,1219.0,00303,0.0499218892888,0.000154023184017
