"","summary.license_law.zip_code."
"80219",956
"80239",479
"80204",362
"80205",313
"80216",312
"80211",307
"80223",247
"80220",244
"80210",219
"80249",198
"80207",185
"80206",111
"80212",106
"80209",101
"80222",97
"80224",94
"80221",89
"80236",77
"80231",74
"80218",71
"80237",62
"80238",62
"80203",56
"80202",53
"80227",51
"80123",47
"80230",41
"80246",41
"80247",24
"80235",15
"80226",11
"80014",8
"80214",6
"80110",4
"80012",1
"80232",1
"00000",0
"01778",0
"01921",0
"02116",0
"02135",0
"02906",0
"03272",0
"05452",0
"06071",0
"07666",0
"10025",0
"10527",0
"10555",0
"11211",0
"14047",0
"17020",0
"20005",0
"20016",0
"22202",0
"22304",0
"23013",0
"23669",0
"27584",0
"27612",0
"28031",0
"28412",0
"29461",0
"29464",0
"29615",0
"30041",0
"30705",0
"32303",0
"32724",0
"32792",0
"33156",0
"33609",0
"33704",0
"33777",0
"33993",0
"34327",0
"34471",0
"37110",0
"37410",0
"38059",0
"40038",0
"43234",0
"43526",0
"43606",0
"44040",0
"44805",0
"45069",0
"46220",0
"47201",0
"47906",0
"48098",0
"48187",0
"48612",0
"50325",0
"50501",0
"51053",0
"51351",0
"53037",0
"53209",0
"(Other)",0
